,la,esperanto
antaŭ,ĉarma,esperanto
ĉarma,malgranda,esperanto
malgranda,dometo,esperanto
dometo,kun,esperanto
kun,sur,esperanto
sur,la,esperanto
la,pordo,esperanto
pordo,neta,esperanto
neta,nomtabulo,esperanto
nomtabulo,kaj,esperanto
kaj,gravurita,esperanto
gravurita,sur,esperanto
sur,ĝi,esperanto
ĝi,la,esperanto
la,nomo,esperanto
nomo,sro,esperanto
sro,b,esperanto
b,kuniklo,esperanto
kuniklo,ŝi,esperanto
ŝi,eniris,esperanto
eniris,ne,esperanto
ne,frapinte,esperanto
frapinte,la,esperanto
la,pordon,esperanto
pordon,kaj,esperanto
kaj,rapidis,esperanto
rapidis,supren,esperanto
supren,per,esperanto
per,ŝtuparo,esperanto
ŝtuparo,timante,esperanto
timante,ke,esperanto
ke,ŝi,esperanto
ŝi,renkontiĝos,esperanto
renkontiĝos,kun,esperanto
kun,la,esperanto
la,efektiva,esperanto
efektiva,mariano,esperanto
mariano,kaj,esperanto
kaj,estos,esperanto
estos,forigita,esperanto
forigita,el,esperanto
el,la,esperanto
la,domo,esperanto
domo,antaŭ,esperanto
antaŭ,ol,esperanto
ol,ŝi,esperanto
ŝi,povos,esperanto
povos,trovi,esperanto
trovi,la,esperanto
la,ventumilon,esperanto
ventumilon,kaj,esperanto
kaj,gantojn,esperanto
gantojn,kiel,esperanto
kiel,strange,esperanto
strange,estas,esperanto
estas,diris,esperanto
diris,alicio,esperanto
alicio,al,esperanto
al,si,esperanto
si,esti,esperanto
esti,ĉirkaŭsendata,esperanto
ĉirkaŭsendata,de,esperanto
de,kuniklo,esperanto
kuniklo,eble,esperanto
eble,ankaŭ,esperanto
ankaŭ,dajna,esperanto
dajna,igos,esperanto
igos,min,esperanto
min,porti,esperanto
porti,por,esperanto
por,ŝi,esperanto
ŝi,depeŝojn,esperanto
depeŝojn,jen,esperanto
jen,kio,esperanto
kio,povus,esperanto
povus,okazi,esperanto
okazi,fraŭlino,esperanto
fraŭlino,alicio,esperanto
alicio,venu,esperanto
venu,pretigu,esperanto
pretigu,vin,esperanto
vin,por,esperanto
por,la,esperanto
la,promeno,esperanto
promeno,post,esperanto
post,unu,esperanto
unu,momento,esperanto
momento,varnjo,esperanto
varnjo,tamen,esperanto
tamen,ĝis,esperanto
ĝis,dajna,esperanto
dajna,revenos,esperanto
revenos,mi,esperanto
mi,devas,esperanto
devas,gardi,esperanto
gardi,la,esperanto
la,mustruon,esperanto
mustruon,por,esperanto
por,ke,esperanto
ke,la,esperanto
la,muso,esperanto
muso,ne,esperanto
ne,eliru,esperanto
eliru,sed,esperanto
sed,mi,esperanto
mi,kredas,esperanto
kredas,ke,esperanto
ke,se,esperanto
se,dajna,esperanto
dajna,komencus,esperanto
komencus,tiamaniere,esperanto
tiamaniere,estri,esperanto
estri,la,esperanto
la,domanojn,esperanto
domanojn,oni,esperanto
oni,ne,esperanto
ne,permesus,esperanto
permesus,al,esperanto
al,ŝi,esperanto
ŝi,resti,esperanto
resti,en,esperanto
en,la,esperanto
la,domo,esperanto
domo,dum,esperanto
dum,ŝi,esperanto
ŝi,parolis,esperanto
parolis,ŝi,esperanto
ŝi,trovis,esperanto
trovis,sin,esperanto
sin,en,esperanto
en,neta,esperanto
neta,ĉambreto,esperanto
ĉambreto,kiu,esperanto
kiu,havis,esperanto
havis,tablon,esperanto
tablon,apud,esperanto
apud,la,esperanto
la,fenestro,esperanto
fenestro,kaj,esperanto
kaj,jen,esperanto
jen,sur,esperanto
sur,la,esperanto
la,tablo,esperanto
tablo,kion,esperanto
kion,ŝi,esperanto
ŝi,esperis,esperanto
esperis,trovi,esperanto
trovi,ventumilo,esperanto
ventumilo,kaj,esperanto
kaj,kelkaj,esperanto
kelkaj,paroj,esperanto
paroj,da,esperanto
da,blankaj,esperanto
blankaj,gantetoj,esperanto
gantetoj,preninte,esperanto
preninte,la,esperanto
la,ventumilon,esperanto
ventumilon,kaj,esperanto
kaj,unu,esperanto
unu,paron,esperanto
paron,da,esperanto
da,gantoj,esperanto
gantoj,ŝi,esperanto
ŝi,estis,esperanto
estis,tuj,esperanto
tuj,forlasonta,esperanto
forlasonta,la,esperanto
la,ĉambron,esperanto
ĉambron,kiam,esperanto
kiam,okaze,esperanto
okaze,ŝi,esperanto
ŝi,rimarkis,esperanto
rimarkis,starantan,esperanto
starantan,apud,esperanto
apud,la,esperanto
la,spegulo,esperanto
spegulo,boteleton,esperanto
boteleton,tiu,esperanto
tiu,boteleto,esperanto
boteleto,ne,esperanto
ne,havis,esperanto
havis,surskribon,esperanto
surskribon,kun,esperanto
kun,la,esperanto
la,invito,esperanto
invito,trinku,esperanto
trinku,min,esperanto
min,tamen,esperanto
tamen,ŝi,esperanto
ŝi,malŝtopis,esperanto
malŝtopis,kaj,esperanto
kaj,almetis,esperanto
almetis,ĝin,esperanto
ĝin,al,esperanto
al,la,esperanto
la,lipoj,esperanto
lipoj,kiam,esperanto
kiam,ajn,esperanto
ajn,mi,esperanto
mi,aŭ,esperanto
aŭ,manĝas,esperanto
manĝas,aŭ,esperanto
aŭ,trinkas,esperanto
trinkas,ĉi,esperanto
ĉi,tie,esperanto
tie,funde,esperanto
funde,nepre,esperanto
nepre,okazas,esperanto
okazas,io,esperanto
io,stranga,esperanto
stranga,do,esperanto
do,mi,esperanto
mi,volas,esperanto
volas,provi,esperanto
provi,kian,esperanto
kian,efikon,esperanto
efikon,havos,esperanto
havos,ĉi,esperanto
ĉi,tiu,esperanto
tiu,boteleto,esperanto
boteleto,mi,esperanto
mi,tre,esperanto
tre,esperas,esperanto
esperas,ke,esperanto
ke,ĝi,esperanto
ĝi,denove,esperanto
denove,grandigos,esperanto
grandigos,min,esperanto
min,ĉar,esperanto
ĉar,mi,esperanto
mi,vere,esperanto
vere,enuas,esperanto
enuas,esti,esperanto
esti,tia,esperanto
tia,malgrandaĵeto,esperanto
malgrandaĵeto,kia,esperanto
kia,nun,esperanto
nun,mi,esperanto
mi,estas,esperanto
estas,kaj,esperanto
kaj,tian,esperanto
tian,efikon,esperanto
efikon,ĝi,esperanto
ĝi,fakte,esperanto
fakte,havis,esperanto
havis,efikon,esperanto
efikon,preskaŭ,esperanto
preskaŭ,tujan,esperanto
tujan,ĉar,esperanto
ĉar,antaŭ,esperanto
antaŭ,ol,esperanto
ol,ŝi,esperanto
ŝi,eltrinkis,esperanto
eltrinkis,duonon,esperanto
duonon,de,esperanto
de,la,esperanto
la,enhavo,esperanto
enhavo,ŝi,esperanto
ŝi,sentis,esperanto
sentis,la,esperanto
la,kapon,esperanto
kapon,premata,esperanto
premata,kontraŭ,esperanto
kontraŭ,la,esperanto
la,plafono,esperanto
plafono,kaj,esperanto
kaj,devis,esperanto
devis,klini,esperanto
klini,la,esperanto
la,dorson,esperanto
dorson,por,esperanto
por,ke,esperanto
ke,ŝi,esperanto
ŝi,ne,esperanto
ne,rompu,esperanto
rompu,al,esperanto
al,si,esperanto
si,la,esperanto
la,kolon,esperanto
kolon,si,esperanto
si,tuj,esperanto
tuj,demetis,esperanto
demetis,la,esperanto
la,boteleton,esperanto
boteleton,dirante,esperanto
dirante,sufiĉas,esperanto
sufiĉas,mi,esperanto
mi,esperas,esperanto
esperas,ke,esperanto
ke,mi,esperanto
mi,ne,esperanto
ne,kreskos,esperanto
kreskos,plu,esperanto
plu,jam,esperanto
jam,mi,esperanto
mi,ne,esperanto
ne,povas,esperanto
povas,eliri,esperanto
eliri,tra,esperanto
tra,la,esperanto
la,pordo,esperanto
pordo,ho,esperanto
ho,mi,esperanto
mi,tre,esperanto
tre,volas,esperanto
volas,ke,esperanto
ke,mi,esperanto
mi,ne,esperanto
ne,tiom,esperanto
tiom,trinkis,esperanto
trinkis,ho,esperanto
ho,ve,esperanto
ve,jam,esperanto
jam,tro,esperanto
tro,malfrue,esperanto
malfrue,estis,esperanto
estis,por,esperanto
por,voli,esperanto
voli,tion,esperanto
tion,la,esperanto
la,kresko,esperanto
kresko,tute,esperanto
tute,ne,esperanto
ne,ĉesis,esperanto
ĉesis,sed,esperanto
sed,daŭradis,esperanto
daŭradis,ĝis,esperanto
ĝis,ŝi,esperanto
ŝi,devis,esperanto
devis,stari,esperanto
stari,sur,esperanto
sur,la,esperanto
la,genuoj,esperanto
genuoj,kaj,esperanto
kaj,plu,esperanto
plu,daŭradis,esperanto
daŭradis,ĝis,esperanto
ĝis,eĉ,esperanto
eĉ,por,esperanto
por,tio,esperanto
tio,mankis,esperanto
mankis,spaco,esperanto
spaco,ŝi,esperanto
ŝi,klopodis,esperanto
klopodis,kuŝi,esperanto
kuŝi,sur,esperanto
sur,la,esperanto
la,planko,esperanto
planko,havante,esperanto
havante,unu,esperanto
unu,kubuton,esperanto
kubuton,kontraŭ,esperanto
kontraŭ,la,esperanto
la,pordo,esperanto
pordo,kaj,esperanto
kaj,la,esperanto
la,alian,esperanto
alian,klinitan,esperanto
klinitan,ĉirkaŭ,esperanto
ĉirkaŭ,la,esperanto
la,kapo,esperanto
kapo,sed,esperanto
sed,ankoraŭ,esperanto
ankoraŭ,plu,esperanto
plu,ŝi,esperanto
ŝi,kreskis,esperanto
kreskis,kaj—jen,esperanto
kaj—jen,ŝia,esperanto
ŝia,lasta,esperanto
lasta,rimedo—ŝi,esperanto
rimedo—ŝi,ŝovis,esperanto
ŝovis,unu,esperanto
unu,brakon,esperanto
brakon,el,esperanto
el,la,esperanto
la,fenestro,esperanto
fenestro,kaj,esperanto
kaj,unu,esperanto
unu,piedon,esperanto
piedon,en,esperanto
en,la,esperanto
la,kamentubon,esperanto
kamentubon,dirante,esperanto
dirante,nu,esperanto
nu,kio,esperanto
kio,ajn,esperanto
ajn,okazos,esperanto
okazos,jam,esperanto
jam,nenion,esperanto
nenion,plu,esperanto
plu,mi,esperanto
mi,povas,esperanto
povas,fari,esperanto
fari,kio,esperanto
kio,al,esperanto
al,mi,esperanto
mi,okazos,esperanto
okazos,kio,esperanto
kio,tre,esperanto
tre,feliĉe,esperanto
feliĉe,por,esperanto
por,alicio,esperanto
alicio,la,esperanto
la,sorĉboteleto,esperanto
sorĉboteleto,jam,esperanto
jam,plene,esperanto
plene,efikis,esperanto
efikis,ŝi,esperanto
ŝi,ne,esperanto
ne,plu,esperanto
plu,kreskis,esperanto
kreskis,tamen,esperanto
tamen,ŝia,esperanto
ŝia,nuna,esperanto
nuna,amplekso,esperanto
amplekso,estis,esperanto
estis,por,esperanto
por,ŝi,esperanto
ŝi,tre,esperanto
tre,malkomforta,esperanto
malkomforta,kaj,esperanto
kaj,ĉar,esperanto
ĉar,ŝajne,esperanto
ŝajne,ekzistis,esperanto
ekzistis,nenia,esperanto
nenia,eblo,esperanto
eblo,iam,esperanto
iam,eliri,esperanto
eliri,tiun,esperanto
tiun,ĉambron,esperanto
ĉambron,ni,esperanto
ni,ne,esperanto
ne,miru,esperanto
miru,ke,esperanto
ke,ŝi,esperanto
ŝi,nun,esperanto
nun,fariĝis,esperanto
fariĝis,tre,esperanto
tre,malgaja,esperanto
malgaja,estis,esperanto
estis,multe,esperanto
multe,pli,esperanto
pli,agrable,esperanto
agrable,en,esperanto
en,la,esperanto
la,hejmo,esperanto
hejmo,pensis,esperanto
pensis,la,esperanto
la,kompatindulo,esperanto
kompatindulo,ĉar,esperanto
ĉar,tie,esperanto
tie,ne,esperanto
ne,okazis,esperanto
okazis,ke,esperanto
ke,oni,esperanto
oni,ĉiam,esperanto
ĉiam,alterne,esperanto
alterne,kreskis,esperanto
kreskis,kaj,esperanto
kaj,malkreskis,esperanto
malkreskis,kaj,esperanto
kaj,ĉirkaŭordoniĝis,esperanto
ĉirkaŭordoniĝis,de,esperanto
de,musoj,esperanto
musoj,kaj,esperanto
kaj,kunikloj,esperanto
kunikloj,preskaŭ,esperanto
preskaŭ,mi,esperanto
mi,volas,esperanto
volas,ke,esperanto
ke,mi,esperanto
mi,ne,esperanto
ne,estus,esperanto
estus,enirinta,esperanto
enirinta,tiun,esperanto
tiun,tuneleton,esperanto
tuneleton,tamen,esperanto
tamen,malgraŭ,esperanto
malgraŭ,ĉio,esperanto
ĉio,la,esperanto
la,ĉitiea,esperanto
ĉitiea,vivo,esperanto
vivo,estas,esperanto
estas,certe,esperanto
certe,kurioza,esperanto
kurioza,kaj,esperanto
kaj,interesa,esperanto
interesa,ho,esperanto
ho,mi,esperanto
mi,tre,esperanto
tre,miras,esperanto
miras,kio,esperanto
kio,okazis,esperanto
okazis,al,esperanto
al,mi,esperanto
mi,en,esperanto
en,la,esperanto
la,pasinto,esperanto
pasinto,kiam,esperanto
kiam,mi,esperanto
mi,legis,esperanto
legis,la,esperanto
la,fefabelojn,esperanto
fefabelojn,mi,esperanto
mi,ĉiam,esperanto
ĉiam,supozis,esperanto
supozis,ke,esperanto
ke,en,esperanto
en,la,esperanto
la,reala,esperanto
reala,mondo,esperanto
mondo,tute,esperanto
tute,ne,esperanto
ne,okazas,esperanto
okazas,tiaj,esperanto
tiaj,aferoj,esperanto
aferoj,sed,esperanto
sed,jen,esperanto
jen,mi,esperanto
mi,mem,esperanto
mem,trovas,esperanto
trovas,min,esperanto
min,en,esperanto
en,la,esperanto
la,mezo,esperanto
mezo,de,esperanto
de,ia,esperanto
ia,vera,esperanto
vera,fefabelo,esperanto
fefabelo,oni,esperanto
oni,devos,esperanto
devos,oni,esperanto
oni,certege,esperanto
certege,devos,esperanto
devos,verki,esperanto
verki,libron,esperanto
libron,pri,esperanto
pri,mi,esperanto
mi,mi,esperanto
mi,mem,esperanto
mem,verkos,esperanto
verkos,ĝin,esperanto
ĝin,tuj,esperanto
tuj,kiam,esperanto
kiam,mi,esperanto
mi,estos,esperanto
estos,plenkreskinta,esperanto
plenkreskinta,sed,esperanto
sed,mi,esperanto
mi,ja,esperanto
ja,estas,esperanto
estas,plene,esperanto
plene,kreskinta,esperanto
kreskinta,jam,esperanto
jam,nun—diris,esperanto
nun—diris,ŝi,esperanto
ŝi,per,esperanto
per,malgaja,esperanto
malgaja,voĉo,esperanto
voĉo,almenaŭ,esperanto
almenaŭ,tie,esperanto
tie,ĉi,esperanto
ĉi,ne,esperanto
ne,estas,esperanto
estas,spaco,esperanto
spaco,por,esperanto
por,kreski,esperanto
kreski,plu,esperanto
plu,ĉu,esperanto
ĉu,sekvas,esperanto
sekvas,do,esperanto
do,pensis,esperanto
pensis,ŝi,esperanto
ŝi,ke,esperanto
ke,mi,esperanto
mi,neniam,esperanto
neniam,fariĝos,esperanto
fariĝos,pli,esperanto
pli,aĝa,esperanto
aĝa,ol,esperanto
ol,nun,esperanto
nun,tio,esperanto
tio,ja,esperanto
ja,estus,esperanto
estus,unuflanke,esperanto
unuflanke,tre,esperanto
tre,agrabla,esperanto
agrabla,neniam,esperanto
neniam,fariĝi,esperanto
fariĝi,maljunulino,esperanto
maljunulino,sed,esperanto
sed,aliflanke,esperanto
aliflanke,devi,esperanto
devi,ĉiam,esperanto
ĉiam,lerni,esperanto
lerni,la,esperanto
la,lecionojn,esperanto
lecionojn,ho,esperanto
ho,mi,esperanto
mi,ne,esperanto
ne,ŝatus,esperanto
ŝatus,tion,esperanto
tion,vi,esperanto
vi,stulta,esperanto
stulta,alicio,esperanto
alicio,ŝi,esperanto
ŝi,respondis,esperanto
respondis,al,esperanto
al,si,esperanto
si,kiel,esperanto
kiel,vi,esperanto
vi,povus,esperanto
povus,lerni,esperanto
lerni,lecionojn,esperanto
lecionojn,tie,esperanto
tie,ĉi,esperanto
ĉi,apenaŭ,esperanto
apenaŭ,estas,esperanto
estas,spaco,esperanto
spaco,por,esperanto
por,vi,esperanto
vi,kie,esperanto
kie,do,esperanto
do,lokiĝus,esperanto
lokiĝus,lernolibroj,esperanto
lernolibroj,kaj,esperanto
kaj,tiamaniere,esperanto
tiamaniere,ŝi,esperanto
ŝi,daŭrigis,esperanto
daŭrigis,la,esperanto
la,konversacion,esperanto
konversacion,diskutante,esperanto
diskutante,kaj,esperanto
kaj,argumentante,esperanto
argumentante,kontraŭ,esperanto
kontraŭ,si,esperanto
si,ilustraĵo,esperanto
ilustraĵo,la,esperanto
la,kuniklo,esperanto
kuniklo,falas,esperanto
falas,en,esperanto
en,sian,esperanto
sian,kukumejon,esperanto
kukumejon,post,esperanto
post,kelkaj,esperanto
kelkaj,momentoj,esperanto
momentoj,ŝi,esperanto
ŝi,ĉesis,esperanto
ĉesis,paroli,esperanto
paroli,kaj,esperanto
kaj,aŭskultis,esperanto
aŭskultis,ĉar,esperanto
ĉar,ŝi,esperanto
ŝi,aŭdis,esperanto
aŭdis,ekster,esperanto
ekster,la,esperanto
la,ĉambro,esperanto
ĉambro,ies,esperanto
ies,voĉon,esperanto
voĉon,diranta,esperanto
diranta,mariano,esperanto
mariano,mariano,esperanto
mariano,se,esperanto
se,vi,esperanto
vi,ne,esperanto
ne,tuj,esperanto
tuj,alportos,esperanto
alportos,al,esperanto
al,mi,esperanto
mi,la,esperanto
la,gantojn—,esperanto
gantojn—,sekvis,esperanto
sekvis,la,esperanto
la,sonoj,esperanto
sonoj,de,esperanto
de,piedtrotetado,esperanto
piedtrotetado,supren,esperanto
supren,laŭ,esperanto
laŭ,la,esperanto
la,ŝtuparo,esperanto
ŝtuparo,alicio,esperanto
alicio,komprenis,esperanto
komprenis,ke,esperanto
ke,la,esperanto
la,kuniklo,esperanto
kuniklo,venas,esperanto
venas,por,esperanto
por,serĉi,esperanto
serĉi,marianon,esperanto
marianon,pro,esperanto
pro,timo,esperanto
timo,al,esperanto
al,li,esperanto
li,ŝi,esperanto
ŝi,tiel,esperanto
tiel,forte,esperanto
forte,tremis,esperanto
tremis,ke,esperanto
ke,la,esperanto
la,tuta,esperanto
tuta,dometo,esperanto
dometo,skuiĝis,esperanto
skuiĝis,ŝi,esperanto
ŝi,ja,esperanto
ja,forgesis,esperanto
forgesis,ke,esperanto
ke,nun,esperanto
nun,ŝi,esperanto
ŝi,estas,esperanto
estas,preskaŭ,esperanto
preskaŭ,miloble,esperanto
miloble,pli,esperanto
pli,granda,esperanto
granda,ol,esperanto
ol,la,esperanto
la,kuniklo,esperanto
kuniklo,kaj,esperanto
kaj,tute,esperanto
tute,ne,esperanto
ne,bezonas,esperanto
bezonas,timi,esperanto
timi,ĝin,esperanto
ĝin,laŭ,esperanto
laŭ,la,esperanto
la,aŭdataj,esperanto
aŭdataj,sonoj,esperanto
sonoj,la,esperanto
la,kuniklo,esperanto
kuniklo,alvenis,esperanto
alvenis,ĝis,esperanto
ĝis,la,esperanto
la,pordo,esperanto
pordo,kaj,esperanto
kaj,klopodadas,esperanto
klopodadas,malfermi,esperanto
malfermi,ĝin,esperanto
ĝin,sed,esperanto
sed,ĉar,esperanto
ĉar,la,esperanto
la,pordo,esperanto
pordo,estis,esperanto
estis,malfermebla,esperanto
malfermebla,nur,esperanto
nur,internen,esperanto
internen,kaj,esperanto
kaj,ĉar,esperanto
ĉar,alicio,esperanto
alicio,forte,esperanto
forte,premas,esperanto
premas,ĝin,esperanto
ĝin,per,esperanto
per,la,esperanto
la,kubuto,esperanto
kubuto,tiu,esperanto
tiu,klopodado,esperanto
klopodado,malsukcesis,esperanto
malsukcesis,ŝi,esperanto
ŝi,aŭdis,esperanto
aŭdis,ĝin,esperanto
ĝin,diri,esperanto
diri,al,esperanto
al,si,esperanto
si,do,esperanto
do,mi,esperanto
mi,ĉirkaŭiros,esperanto
ĉirkaŭiros,kaj,esperanto
kaj,eniĝos,esperanto
eniĝos,tra,esperanto
tra,la,esperanto
la,fenestro,esperanto
fenestro,vi,esperanto
vi,ne,esperanto
ne,faros,esperanto
faros,tion,esperanto
tion,pensis,esperanto
pensis,alicio,esperanto
alicio,atendinte,esperanto
atendinte,ĝis,esperanto
ĝis,ŝi,esperanto
ŝi,aŭdas,esperanto
aŭdas,la,esperanto
la,kuniklon,esperanto
kuniklon,apude,esperanto
apude,sub,esperanto
sub,la,esperanto
la,fenestro,esperanto
fenestro,ŝi,esperanto
ŝi,subite,esperanto
subite,eletendis,esperanto
eletendis,la,esperanto
la,manon,esperanto
manon,kaj,esperanto
kaj,faris,esperanto
faris,provkapton,esperanto
provkapton,en,esperanto
en,la,esperanto
la,aero,esperanto
aero,en,esperanto
en,la,esperanto
la,manon,esperanto
manon,ŝi,esperanto
ŝi,ricevis,esperanto
ricevis,nenion,esperanto
nenion,sed,esperanto
sed,aŭdis,esperanto
aŭdis,subitan,esperanto
subitan,timekkrion,esperanto
timekkrion,la,esperanto
la,falon,esperanto
falon,de,esperanto
de,ia,esperanto
ia,korpo,esperanto
korpo,kaj,esperanto
kaj,samtempe,esperanto
samtempe,la,esperanto
la,sonon,esperanto
sonon,de,esperanto
de,frakasata,esperanto
frakasata,vitro,esperanto
vitro,el,esperanto
el,tio,esperanto
tio,ŝi,esperanto
ŝi,konkludis,esperanto
konkludis,ke,esperanto
ke,ĝi,esperanto
ĝi,falis,esperanto
falis,en,esperanto
en,kukumejon,esperanto
kukumejon,aŭ,esperanto
aŭ,en,esperanto
en,ion,esperanto
ion,tiuspecan,esperanto
tiuspecan,post,esperanto
post,unu,esperanto
unu,momenton,esperanto
momenton,ŝi,esperanto
ŝi,aŭdis,esperanto
aŭdis,tre,esperanto
tre,koleran,esperanto
koleran,voĉon,esperanto
voĉon,certe,esperanto
certe,la,esperanto
la,voĉon,esperanto
voĉon,de,esperanto
de,l,esperanto
l,kuniklo,esperanto
kuniklo,diranta,esperanto
diranta,pat,esperanto
pat,pat,esperanto
pat,kie,esperanto
kie,vi,esperanto
vi,estas,esperanto
estas,kanajlo,esperanto
kanajlo,kaj,esperanto
kaj,responde,esperanto
responde,de,esperanto
de,malproksime,esperanto
malproksime,jen,esperanto
jen,alia,esperanto
alia,voĉo,esperanto
voĉo,de,esperanto
de,ŝi,esperanto
ŝi,nekonata,esperanto
nekonata,se,esperanto
se,plaĉas,esperanto
plaĉas,moŝto,esperanto
moŝto,jen,esperanto
jen,mi,esperanto
mi,tie,esperanto
tie,ĉi,esperanto
ĉi,mi,esperanto
mi,fosas,esperanto
fosas,pomojn,esperanto
pomojn,fosas,esperanto
fosas,pomojn,esperanto
pomojn,ĉi,esperanto
ĉi,tien,esperanto
tien,sencerbulo,esperanto
sencerbulo,kaj,esperanto
kaj,eligu,esperanto
eligu,min,esperanto
min,el,esperanto
el,ĉi,esperanto
ĉi,tio,esperanto
tio,denove,esperanto
denove,aŭdiĝas,esperanto
aŭdiĝas,sonoj,esperanto
sonoj,de,esperanto
de,frakasata,esperanto
frakasata,vitro,esperanto
vitro,nun,esperanto
nun,vi,esperanto
vi,diru,esperanto
diru,al,esperanto
al,mi,esperanto
mi,pat,esperanto
pat,kio,esperanto
kio,tio,esperanto
tio,estas,esperanto
estas,en,esperanto
en,la,esperanto
la,fenestro,esperanto
fenestro,brako,esperanto
brako,ekscelenco,esperanto
ekscelenco,laŭ,esperanto
laŭ,la,esperanto
la,akcento,esperanto
akcento,per,esperanto
per,kiu,esperanto
kiu,li,esperanto
li,parolis,esperanto
parolis,li,esperanto
li,certe,esperanto
certe,estis,esperanto
estis,irlandano,esperanto
irlandano,ĉu,esperanto
ĉu,brako,esperanto
brako,vi,esperanto
vi,diris,esperanto
diris,stultulo,esperanto
stultulo,kiu,esperanto
kiu,en,esperanto
en,la,esperanto
la,tuta,esperanto
tuta,mondo,esperanto
mondo,iam,esperanto
iam,vidis,esperanto
vidis,brakon,esperanto
brakon,tiel,esperanto
tiel,grandan,esperanto
grandan,ĝi,esperanto
ĝi,ja,esperanto
ja,ŝtopas,esperanto
ŝtopas,la,esperanto
la,tutan,esperanto
tutan,fenestron,esperanto
fenestron,estas,esperanto
estas,vero,esperanto
vero,ekscelenco,esperanto
ekscelenco,sed,esperanto
sed,malgraŭ,esperanto
malgraŭ,ĉio,esperanto
ĉio,ĝi,esperanto
ĝi,estas,esperanto
estas,brako,esperanto
brako,nu,esperanto
nu,ĝi,esperanto
ĝi,ne,esperanto
ne,devas,esperanto
devas,esti,esperanto
esti,tie,esperanto
tie,kio,esperanto
kio,ajn,esperanto
ajn,ĝi,esperanto
ĝi,estas,esperanto
estas,vi,esperanto
vi,iru,esperanto
iru,tuj,esperanto
tuj,kaj,esperanto
kaj,forprenu,esperanto
forprenu,ĝin,esperanto
ĝin,post,esperanto
post,tio,esperanto
tio,sekvis,esperanto
sekvis,longa,esperanto
longa,silento,esperanto
silento,nur,esperanto
nur,malofte,esperanto
malofte,alicio,esperanto
alicio,aŭdis,esperanto
aŭdis,flustraĵojn,esperanto
flustraĵojn,ekze,esperanto
ekze,mi,esperanto
mi,ne,esperanto
ne,ŝatas,esperanto
ŝatas,ĝin,esperanto
ĝin,moŝto,esperanto
moŝto,tut,esperanto
tut,ne,esperanto
ne,tut,esperanto
tut,ne,esperanto
ne,kaj,esperanto
kaj,vi,esperanto
vi,obeu,esperanto
obeu,malkuraĝulo,esperanto
malkuraĝulo,en,esperanto
en,la,esperanto
la,fino,esperanto
fino,ŝi,esperanto
ŝi,la,esperanto
la,duan,esperanto
duan,fojon,esperanto
fojon,eletendis,esperanto
eletendis,la,esperanto
la,manon,esperanto
manon,kaj,esperanto
kaj,faris,esperanto
faris,provkapton,esperanto
provkapton,en,esperanto
en,la,esperanto
la,aero,esperanto
aero,ĉi,esperanto
ĉi,tiun,esperanto
tiun,fojon,esperanto
fojon,ŝi,esperanto
ŝi,aŭdis,esperanto
aŭdis,du,esperanto
du,timkriojn,esperanto
timkriojn,kaj,esperanto
kaj,ankaŭ,esperanto
ankaŭ,duobliĝis,esperanto
duobliĝis,la,esperanto
la,sonoj,esperanto
sonoj,de,esperanto
de,frakasata,esperanto
frakasata,vitro,esperanto
vitro,tiu,esperanto
tiu,kukumejo,esperanto
kukumejo,nepre,esperanto
nepre,havas,esperanto
havas,multe,esperanto
multe,da,esperanto
da,kadroj,esperanto
kadroj,pensis,esperanto
pensis,alicio,esperanto
alicio,kion,esperanto
kion,oni,esperanto
oni,projektos,esperanto
projektos,nun,esperanto
nun,pri,esperanto
pri,la,esperanto
la,projekto,esperanto
projekto,eltiri,esperanto
eltiri,min,esperanto
min,el,esperanto
el,la,esperanto
la,fenestro,esperanto
fenestro,se,esperanto
se,nur,esperanto
nur,ili,esperanto
ili,povus,esperanto
povus,mi,esperanto
mi,estus,esperanto
estus,tute,esperanto
tute,kontenta,esperanto
kontenta,ĉar,esperanto
ĉar,mi,esperanto
mi,ja,esperanto
ja,ne,esperanto
ne,volas,esperanto
volas,resti,esperanto
resti,tie,esperanto
tie,ĉi,esperanto
ĉi,eterne,esperanto
eterne,pasis,esperanto
pasis,kelka,esperanto
kelka,tempo,esperanto
tempo,en,esperanto
en,plena,esperanto
plena,silento,esperanto
silento,poste,esperanto
poste,rompis,esperanto
rompis,la,esperanto
la,silenton,esperanto
silenton,rulbruo,esperanto
rulbruo,de,esperanto
de,malgrandaj,esperanto
malgrandaj,vagonradoj,esperanto
vagonradoj,kaj,esperanto
kaj,voĉoj,esperanto
voĉoj,ne,esperanto
ne,malmultaj,esperanto
malmultaj,ekparolis,esperanto
ekparolis,ĉiuj,esperanto
ĉiuj,kune,esperanto
kune,ŝi,esperanto
ŝi,elaŭdis,esperanto
elaŭdis,nur,esperanto
nur,la,esperanto
la,sekvantajn,esperanto
sekvantajn,kie,esperanto
kie,la,esperanto
la,alia,esperanto
alia,ŝtupetaro—mi,esperanto
ŝtupetaro—mi,ja,esperanto
ja,devis,esperanto
devis,alporti,esperanto
alporti,nur,esperanto
nur,unu,esperanto
unu,la,esperanto
la,alian,esperanto
alian,bil,esperanto
bil,alportas—bilĉo,esperanto
alportas—bilĉo,ĝin,esperanto
ĝin,starigu,esperanto
starigu,tie,esperanto
tie,ĉi—jen,esperanto
ĉi—jen,en,esperanto
en,ĉi,esperanto
